country,lat,long,confirmed,deaths,recovered,color
Eswatini,[-26.5225],[31.4659],0.545244527379202,0.09064791487292086,0.7913704593576912,"[0.5556681066250014, 0.08064991712547787, 0.7637412299584895, 0.9999999999999998]"
Ethiopia,[9.145],[40.4897],0.697000713584933,0.06051806696909358,0.9246684021305394,"[0.708763377656161, 0.047842800761233505, 0.9277356031199281, 0.9999999999999998]"
Fiji,[-17.7134],[178.065],0.23232565443166053,0.1569426579559281,0.9244489669928233,"[0.2116176500126731, 0.23867530731698267, 0.8797094718465485, 0.9999999999999997]"
Finland,[61.92411],[25.748151],0.6240413367211093,0.059669229412152844,0.8417824698881103,"[0.6164115119799688, 0.06485953874338946, 0.8623286953818167, 0.9999999999999998]"
France,"[4.0, -17.6797, 16.265, 14.6415, -12.8275, -20.904305, -21.1151, 17.9, 46.8852, 18.0708, 46.2276]","[-53.0, -149.4068, -61.551, -61.0242, 45.166244, 165.618042, 55.5364, -62.8333, -56.3159, -63.0501, 2.2137]",0.8794674212783563,0.09337643302783925,0.10362035660004623,"[0.7643185859600279, 0.06556379933367992, 0.06010493846658323, 0.9999999999999997]"
Gabon,[-0.8037],[11.6094],0.5443822156214561,0.02614554799425941,0.986141296937754,"[0.5412276687399848, 0.052717212667751, 0.9636549507052019, 0.9999999999999998]"
Gambia,[13.4432],[-15.3101],0.48953313668365167,0.12597078211702462,0.974915679663719,"[0.4838186681296027, 0.07030812993443392, 0.9445131529657241, 0.9999999999999998]"
Georgia,[42.3154],[43.3569],0.7328666165924537,0.04386306764994109,0.9656026371444402,"[0.7167091101800698, 0.049977491316948446, 0.9415487434451034, 0.9999999999999998]"
Germany,"[48.6616, 48.7904, 52.52, 52.4125, 53.0793, 53.5511, 50.6521, 53.6127, 52.6367, 51.4332, 50.1183, 49.3964, 51.1045, 51.9503, 54.2194, 51.011, nan]","[9.3501, 11.4979, 13.405, 12.5316, 8.8017, 9.9937, 9.1624, 12.4296, 9.8451, 7.6616, 7.309, 7.023, 13.2017, 11.6923, 9.6961, 10.8453, nan]",0.8544977987469442,0.07553731357058015,0.839829337915844,"[0.8443617084173919, 0.10028181730374226, 0.8894928230992203, 0.9999999999999997]"
Ghana,[7.9465],[-1.0232],0.6482910431956523,0.023794818502490555,0.9837166468771087,"[0.6305264827353911, 0.02956807786508946, 0.9818753859959407, 0.9999999999999998]"
